Spectrum	Date	Time	NO (350,3000) 191C	NO2 (150) 191C (1of2)	NO2 (2000) 191C (2of2)	N2O (100,200,300) 191C (1of2)	NH3 (300) 191C (1of2)	NH3 (3000) 191C (2of2)	HNCO (400) 191C	H2O% (25) 191C	Formaldehyde (70,500) 191C	CO (500) 191C (1of3)	CO% (1) 191C (2of3)	CO2 low% (4) 191C (2of2)	Propylene (200,1000) 191C	Diesel C1 (4500) 191C	Ethylene (100,3000) 191C	CH4 (250) 191C (1of2)	CH4 (3000) 191C (2of2)	Ethane (1000) 191C	Acetylene (1000) 191C	HNO2 (20) 191C	N2O (1040) 191C (2of2)	CO% (10) 191C (3of3)	MeOH (1000) 191C	Formic Acid (100) 191C	SO2 (300) 191C	Temp (C)	Pressure (Atm)	NOx autorange	CO autorange	CH4 autorange	NH3 autorange	NOx autorange dry	CO autorange dry	CO2% autorange dry	N2O dry	NH3 autorange dry	FIDeq THC ppmC	FIDeq NMHC ppmC	FIDeq NMNEHC ppmC	CO2% autorange	FTIR NMHC ppmC	FTIR NMNEHC ppmC	Igram DC	Igram PP	phase Angle	laser PP	laser DC	Bad Scan counter	Centerburst Location	Linearizer Check	SNR 2500	sBeam @ 2500	
N/A	08.07.2026	16:30:19,000	0,646086	0,582445	-3,414794	0,705425	2,389404	4,139394	0,823536	-0,004933	-0,067629	0,102232	0,000002	-0,014176	-0,410819	-0,471480	-0,270193	0,243712	1,106106	0,331686	-0,685389	0,794388	0,366049	-0,011194	-0,066771	0,101516	0,375061	192,607239	0,994083	1,228531	1261,169418	0,000002	2,389404	1,235104	1326,969174	0,100995	0,712976	2,408078	3,017870	3,017868	3,839505	0,101516	2,914178	3,735816	5,511882	7,634301	91,764709	7,411765	-4,941176	0,000000	567,080179	0,002758	288,238314	1,569092
N/A	08.07.2026	16:30:19,200	0,053727	0,778041	-0,799281	0,804982	2,202417	6,686431	4,622377	0,008682	0,047732	0,552016	0,000584	-0,006887	1,065576	-0,542499	-0,532740	0,409929	-2,716821	-0,225254	0,613358	-2,211384	-1,882743	-0,006400	-0,561450	-0,005562	0,287241	192,607239	0,993828	0,831768	6434,201162	0,000584	2,202417	0,874091	6723,642792	-0,007200	0,845810	2,308523	-5,541715	-5,542358	-7,673510	-0,005562	-7,066820	-9,197972	5,511962	7,634907	91,764709	7,411765	-4,941176	0,000000	567,080574	0,002744	245,281736	1,566806
N/A	08.07.2026	16:30:19,400	-0,431366	0,806122	2,273018	0,396392	2,512661	2,956405	-1,843019	-0,028479	-0,088741	-0,592301	0,000199	-0,010255	1,164780	-3,329460	-0,110138	-0,135554	0,083552	-0,708956	2,149018	-2,307706	3,167772	0,001541	1,110758	0,343056	1,721032	192,607239	0,993828	0,374756	12581,046565	0,000199	2,512661	0,372640	12301,470045	0,333676	0,393428	2,465728	2,455061	2,454842	0,125281	0,343056	7,496815	5,167255	5,511976	7,636235	91,764709	7,411765	-4,941176	0,000000	567,080728	0,002806	220,086357	1,564651
N/A	08.07.2026	16:30:19,600	0,896179	0,874743	0,470458	0,562749	2,430404	1,834264	0,436144	0,001257	-0,678008	0,628537	0,000078	-0,033364	0,002433	-2,642929	0,345499	0,570319	-1,316730	0,123457	0,630996	-0,919941	1,212365	0,016365	0,238007	0,066695	0,700557	192,607239	0,993828	1,770922	12315,672679	0,000078	2,430404	1,797975	12360,352400	0,062879	0,568284	2,440442	-3,426913	-3,426998	-3,431865	0,066695	-2,167274	-2,172140	5,512010	7,636822	91,764709	7,411765	-4,941176	0,000000	567,080445	0,002872	222,294183	1,567286
N/A	08.07.2026	16:30:19,800	1,160069	0,580251	2,204807	0,640397	2,218281	-0,719426	-4,751570	0,024730	0,056777	0,399206	0,000370	-0,024502	-0,288528	-1,169330	0,373713	0,173927	-1,051236	0,194471	-0,527082	0,727080	1,401923	0,017990	0,007402	-0,218529	-0,189306	192,607239	0,993828	1,740320	5332,585738	0,000370	2,218281	1,696956	5425,917555	-0,201754	0,613897	2,132246	-5,132930	-5,133337	-4,556282	-0,218529	-4,664610	-4,087555	5,512041	7,636604	91,764709	7,411765	-4,941176	0,000000	567,080255	0,002749	241,719241	1,568567
N/A	08.07.2026	16:30:20,000	0,728623	0,222925	2,297322	0,589074	2,212983	-0,189950	-7,182652	0,017697	0,373656	-0,095972	0,000325	-0,004509	0,025469	-0,151798	0,440576	-0,039460	-3,705821	-0,109133	-0,993398	0,547208	2,238312	0,009790	-0,643032	-0,274372	0,066969	192,607239	0,993828	0,951548	523,964363	0,000325	2,212983	0,877670	509,996543	-0,253523	0,548599	2,071984	-9,591835	-9,592193	-9,643131	-0,274372	-9,084772	-9,135710	5,512059	7,636232	91,764709	7,411765	-4,941176	0,000000	567,080296	0,002549	270,149989	1,566965
N/A	08.07.2026	16:30:20,200	0,511762	0,302736	-0,078417	0,585146	2,437332	3,730648	-1,664381	0,001033	-0,520199	-0,072490	-0,000058	0,003984	0,250202	-0,097187	0,480749	0,304603	-7,366173	0,101566	-0,905827	-0,844017	2,963960	0,003740	-1,476905	-0,104451	0,798549	192,607239	0,993828	0,814498	1035,082106	-0,000058	2,437332	0,812396	1007,543394	-0,100581	0,577955	2,399329	-15,416105	-15,416041	-15,916445	-0,104451	-14,661112	-15,161517	5,512062	7,636007	91,764709	7,411765	-4,941176	0,000000	567,080514	0,002433	282,465424	1,564140
N/A	08.07.2026	16:30:20,400	0,716411	1,014911	2,561537	0,767189	2,541103	4,024354	1,989423	0,020904	-0,943913	-0,718392	0,000217	0,003854	0,189759	-0,808077	-0,322051	-0,398942	-1,383752	1,045341	-0,096154	0,031121	6,161622	0,010116	0,092223	0,122678	0,151875	192,607239	0,993828	1,731322	99,916736	0,000217	2,541103	1,766047	102,317866	0,125240	0,782680	2,592728	-6,461531	-6,461770	-6,841287	0,122678	-0,545736	-0,925253	5,512055	7,635535	91,785757	7,405918	-4,942346	0,000000	567,080746	0,002488	245,702867	1,563419
N/A	08.07.2026	16:30:20,600	0,105618	0,171258	-0,042432	0,480749	2,691020	1,112531	2,276638	0,004069	0,555722	0,002631	-0,000323	-0,008544	0,735033	-0,817835	-0,485545	0,616455	-0,492395	-0,442039	0,201104	-0,328299	2,215200	0,015612	0,339329	0,374611	-0,579825	192,607239	0,993828	0,276876	1393,341333	-0,000323	2,691020	0,282240	1426,771246	0,383528	0,491735	2,753830	-3,122746	-3,122391	-4,592458	0,374611	-0,651899	-2,121966	5,511992	7,635178	92,055357	7,331028	-4,957323	0,000000	567,080699	0,002782	220,396604	1,563135
N/A	08.07.2026	16:30:20,800	0,247420	0,473664	3,207953	0,709107	2,497885	1,064150	1,710269	-0,002230	0,021101	-0,315601	-0,000008	-0,005172	-0,079068	-3,168036	-0,324883	0,466166	2,608688	0,090854	-0,435249	-0,412729	2,469647	-0,003454	0,156825	0,297378	-0,656802	192,607239	0,993828	0,721084	485,283895	-0,000008	2,497885	0,731579	496,929064	0,302916	0,720679	2,541994	-0,751082	-0,751073	-0,592937	0,297378	1,484324	1,642461	5,511954	7,634210	92,369322	7,243816	-4,974766	0,000000	567,080427	0,002686	262,748130	1,563144
