deviceName;timestamp;processValue;workingOutput;workingSetpoint
reactor;2026-07-08T16:33:11.370828;618.24;91.33;621.15
reactor;2026-07-08T16:33:12.041264;618.29;90.77;621.15
reactor;2026-07-08T16:33:12.712341;618.33;90.20;621.15
reactor;2026-07-08T16:33:13.416656;618.37;89.61;621.15
reactor;2026-07-08T16:33:14.103796;618.43;88.80;621.15
reactor;2026-07-08T16:33:14.774944;618.46;88.50;621.15
reactor;2026-07-08T16:33:15.415246;618.50;87.98;621.15
reactor;2026-07-08T16:33:16.052853;618.55;87.43;621.15
reactor;2026-07-08T16:33:16.712044;618.59;86.98;621.15
reactor;2026-07-08T16:33:17.365480;618.64;86.11;621.15
reactor;2026-07-08T16:33:18.004292;618.67;85.66;621.15
reactor;2026-07-08T16:33:18.675859;618.72;84.84;621.15
reactor;2026-07-08T16:33:19.331227;618.77;84.45;621.15
reactor;2026-07-08T16:33:20.002512;618.80;83.95;621.15
reactor;2026-07-08T16:33:20.641965;618.85;83.39;621.15
reactor;2026-07-08T16:33:21.330254;618.90;82.70;621.15
reactor;2026-07-08T16:33:21.970173;618.93;96.56;622.15
reactor;2026-07-08T16:33:22.641331;618.98;95.77;622.15
reactor;2026-07-08T16:33:23.298084;619.02;95.24;622.15
reactor;2026-07-08T16:33:23.935693;619.07;94.40;622.15
reactor;2026-07-08T16:33:24.592112;619.12;93.75;622.15
reactor;2026-07-08T16:33:25.262450;619.15;93.20;622.15
reactor;2026-07-08T16:33:25.918463;619.20;92.46;622.15
reactor;2026-07-08T16:33:26.573798;619.24;91.94;622.15
reactor;2026-07-08T16:33:27.261810;619.29;91.18;622.15
reactor;2026-07-08T16:33:27.917195;619.34;90.56;622.15
reactor;2026-07-08T16:33:28.590963;619.37;90.15;622.15
reactor;2026-07-08T16:33:29.244629;619.42;89.26;622.15
reactor;2026-07-08T16:33:29.918500;619.47;88.73;622.15
reactor;2026-07-08T16:33:30.587639;619.50;88.46;622.15
reactor;2026-07-08T16:33:31.258790;619.55;87.77;622.15
reactor;2026-07-08T16:33:31.932768;619.60;87.09;622.15
reactor;2026-07-08T16:33:32.587479;619.63;86.62;622.15
reactor;2026-07-08T16:33:33.256655;619.69;85.81;622.15
reactor;2026-07-08T16:33:33.930514;619.74;85.05;622.15
reactor;2026-07-08T16:33:34.584953;619.77;84.53;622.15
reactor;2026-07-08T16:33:35.225092;619.82;83.79;622.15
reactor;2026-07-08T16:33:35.880012;619.85;83.33;622.15
reactor;2026-07-08T16:33:36.519562;619.90;82.70;622.15
reactor;2026-07-08T16:33:37.174045;619.95;96.21;623.15
reactor;2026-07-08T16:33:37.831529;619.99;95.70;623.15
reactor;2026-07-08T16:33:38.503232;620.04;94.89;623.15
reactor;2026-07-08T16:33:39.174237;620.09;94.10;623.15
reactor;2026-07-08T16:33:39.828880;620.13;93.54;623.15
reactor;2026-07-08T16:33:40.502094;620.17;92.94;623.15
reactor;2026-07-08T16:33:41.172588;620.21;92.43;623.15
reactor;2026-07-08T16:33:41.828621;620.26;91.76;623.15
reactor;2026-07-08T16:33:42.483814;620.31;91.08;623.15
reactor;2026-07-08T16:33:43.202851;620.36;90.27;623.15
reactor;2026-07-08T16:33:43.842692;620.39;89.80;623.15
reactor;2026-07-08T16:33:44.515169;620.44;89.24;623.15
reactor;2026-07-08T16:33:45.168732;620.48;88.71;623.15
reactor;2026-07-08T16:33:45.840871;620.53;87.92;623.15
reactor;2026-07-08T16:33:46.515095;620.58;87.08;623.15
reactor;2026-07-08T16:33:47.187314;620.61;86.58;623.15
reactor;2026-07-08T16:33:47.855380;620.67;85.79;623.15
reactor;2026-07-08T16:33:48.574019;620.72;85.05;623.15
reactor;2026-07-08T16:33:49.245480;620.77;84.44;623.15
reactor;2026-07-08T16:33:49.888703;620.80;83.97;623.15
reactor;2026-07-08T16:33:50.526650;620.85;83.17;623.15
reactor;2026-07-08T16:33:51.198744;620.89;82.65;623.15
reactor;2026-07-08T16:33:51.852418;620.94;81.87;623.15
reactor;2026-07-08T16:33:52.493542;620.99;95.59;624.15
reactor;2026-07-08T16:33:53.133327;621.02;94.99;624.15
reactor;2026-07-08T16:33:53.819430;621.07;94.18;624.15
reactor;2026-07-08T16:33:54.507091;621.11;93.64;624.15
reactor;2026-07-08T16:33:55.145672;621.16;93.14;624.15
reactor;2026-07-08T16:33:55.818556;621.21;92.47;624.15
reactor;2026-07-08T16:33:56.489691;621.24;92.05;624.15
reactor;2026-07-08T16:33:57.180258;621.29;91.29;624.15
reactor;2026-07-08T16:33:57.833559;621.34;90.81;624.15
reactor;2026-07-08T16:33:58.550895;621.39;90.13;624.15
reactor;2026-07-08T16:33:59.222656;621.42;89.51;624.15
reactor;2026-07-08T16:33:59.862027;621.47;88.95;624.15
reactor;2026-07-08T16:34:00.502512;621.51;88.31;624.15
reactor;2026-07-08T16:34:01.189046;621.56;87.87;624.15
reactor;2026-07-08T16:34:01.846113;621.60;87.32;624.15
reactor;2026-07-08T16:34:02.502804;621.64;86.95;624.15
reactor;2026-07-08T16:34:03.171491;621.69;86.08;624.15
reactor;2026-07-08T16:34:03.844336;621.74;85.33;624.15
reactor;2026-07-08T16:34:04.614030;621.79;84.48;624.15
