deviceName;timestamp;processValue;workingOutput;workingSetpoint
reactor;2026-07-08T12:32:31.896179;723.15;77.45;723.15
reactor;2026-07-08T12:32:32.568881;723.15;77.56;723.15
reactor;2026-07-08T12:32:33.224354;723.15;77.45;723.15
reactor;2026-07-08T12:32:33.898640;723.15;77.38;723.15
reactor;2026-07-08T12:32:34.584597;723.15;77.39;723.15
reactor;2026-07-08T12:32:35.222145;723.15;77.45;723.15
reactor;2026-07-08T12:32:35.913154;723.15;77.60;723.15
reactor;2026-07-08T12:32:36.614617;723.15;77.59;723.15
reactor;2026-07-08T12:32:37.268816;723.15;77.64;723.15
reactor;2026-07-08T12:32:37.925288;723.15;77.71;723.15
reactor;2026-07-08T12:32:38.631177;723.15;77.69;723.15
reactor;2026-07-08T12:32:39.299784;723.15;77.63;723.15
reactor;2026-07-08T12:32:40.020125;723.15;77.67;723.15
reactor;2026-07-08T12:32:40.741996;723.15;77.68;723.15
reactor;2026-07-08T12:32:41.410790;723.15;77.66;723.15
reactor;2026-07-08T12:32:42.115347;723.15;77.63;723.15
reactor;2026-07-08T12:32:42.801069;723.15;77.54;723.15
reactor;2026-07-08T12:32:43.477291;723.15;77.49;723.15
reactor;2026-07-08T12:32:44.192028;723.15;77.53;723.15
reactor;2026-07-08T12:32:44.885146;723.15;77.53;723.15
reactor;2026-07-08T12:32:45.584727;723.15;77.36;723.15
reactor;2026-07-08T12:32:46.239795;723.15;77.33;723.15
reactor;2026-07-08T12:32:46.928340;723.15;77.42;723.15
reactor;2026-07-08T12:32:47.629872;723.15;77.43;723.15
reactor;2026-07-08T12:32:48.381440;723.15;77.35;723.15
reactor;2026-07-08T12:32:49.054287;723.15;77.34;723.15
reactor;2026-07-08T12:32:49.711355;723.15;77.28;723.15
reactor;2026-07-08T12:32:50.381278;723.15;77.23;723.15
reactor;2026-07-08T12:32:51.052263;723.15;77.23;723.15
reactor;2026-07-08T12:32:51.776270;723.15;77.31;723.15
reactor;2026-07-08T12:32:52.460181;723.15;77.47;723.15
reactor;2026-07-08T12:32:53.122019;723.15;77.43;723.15
reactor;2026-07-08T12:32:53.824413;723.15;77.55;723.15
reactor;2026-07-08T12:32:54.475312;723.15;77.67;723.15
reactor;2026-07-08T12:32:55.195558;723.15;77.54;723.15
reactor;2026-07-08T12:32:55.899406;723.15;77.53;723.15
reactor;2026-07-08T12:32:56.571529;723.15;77.44;723.15
reactor;2026-07-08T12:32:57.241745;723.15;77.40;723.15
reactor;2026-07-08T12:32:57.895435;723.15;77.33;723.15
reactor;2026-07-08T12:32:58.600302;723.15;77.31;723.15
reactor;2026-07-08T12:32:59.287357;723.15;77.28;723.15
reactor;2026-07-08T12:32:59.990625;723.15;77.31;723.15
reactor;2026-07-08T12:33:00.695997;723.15;77.28;723.15
reactor;2026-07-08T12:33:01.342325;723.15;77.21;723.15
reactor;2026-07-08T12:33:01.990468;723.15;77.21;723.15
reactor;2026-07-08T12:33:02.660270;723.15;77.27;723.15
reactor;2026-07-08T12:33:03.301675;723.15;77.40;723.15
reactor;2026-07-08T12:33:03.972775;723.15;77.51;723.15
reactor;2026-07-08T12:33:04.627940;723.15;77.62;723.15
reactor;2026-07-08T12:33:05.298518;723.15;77.75;723.15
reactor;2026-07-08T12:33:05.988121;723.15;77.78;723.15
reactor;2026-07-08T12:33:06.642983;723.15;77.72;723.15
reactor;2026-07-08T12:33:07.319096;723.15;77.58;723.15
reactor;2026-07-08T12:33:07.954260;723.15;77.52;723.15
reactor;2026-07-08T12:33:08.624624;723.15;77.69;723.15
reactor;2026-07-08T12:33:09.297643;723.15;77.69;723.15
reactor;2026-07-08T12:33:09.969473;723.15;77.66;723.15
reactor;2026-07-08T12:33:10.657778;723.15;77.68;723.15
reactor;2026-07-08T12:33:11.311871;723.15;77.70;723.15
reactor;2026-07-08T12:33:11.967954;723.14;77.76;723.15
reactor;2026-07-08T12:33:12.655405;723.15;77.53;723.15
reactor;2026-07-08T12:33:13.350507;723.15;77.53;723.15
reactor;2026-07-08T12:33:13.999699;723.15;77.48;723.15
reactor;2026-07-08T12:33:14.668473;723.15;77.49;723.15
reactor;2026-07-08T12:33:15.342562;723.15;77.48;723.15
reactor;2026-07-08T12:33:15.997808;723.15;77.45;723.15
reactor;2026-07-08T12:33:16.668657;723.15;77.51;723.15
reactor;2026-07-08T12:33:17.346349;723.15;77.52;723.15
reactor;2026-07-08T12:33:18.011335;723.15;77.67;723.15
reactor;2026-07-08T12:33:18.699336;723.15;77.66;723.15
reactor;2026-07-08T12:33:19.402697;723.15;77.66;723.15
reactor;2026-07-08T12:33:20.122674;723.15;77.46;723.15
reactor;2026-07-08T12:33:20.792800;723.15;77.41;723.15
reactor;2026-07-08T12:33:21.529637;723.15;77.26;723.15
reactor;2026-07-08T12:33:22.183598;723.15;77.12;723.15
reactor;2026-07-08T12:33:22.856571;723.15;77.24;723.15
reactor;2026-07-08T12:33:23.591564;723.15;77.24;723.15
reactor;2026-07-08T12:33:24.247450;723.15;77.13;723.15
reactor;2026-07-08T12:33:24.942617;723.16;77.02;723.15
reactor;2026-07-08T12:33:25.605926;723.16;76.91;723.15
reactor;2026-07-08T12:33:26.278370;723.16;77.01;723.15
reactor;2026-07-08T12:33:26.981750;723.16;77.07;723.15
reactor;2026-07-08T12:33:27.627565;723.16;77.03;723.15
reactor;2026-07-08T12:33:28.310164;723.16;76.93;723.15
reactor;2026-07-08T12:33:28.980899;723.16;77.03;723.15
reactor;2026-07-08T12:33:29.620141;723.16;77.17;723.15
reactor;2026-07-08T12:33:30.294640;723.16;77.16;723.15
reactor;2026-07-08T12:33:30.977828;723.16;76.95;723.15
reactor;2026-07-08T12:33:31.669609;723.16;76.87;723.15
reactor;2026-07-08T12:33:32.368805;723.16;76.87;723.15
reactor;2026-07-08T12:33:33.024404;723.16;76.72;723.15
reactor;2026-07-08T12:33:33.711934;723.16;76.78;723.15
reactor;2026-07-08T12:33:34.385036;723.16;76.77;723.15
reactor;2026-07-08T12:33:35.025437;723.16;76.87;723.15
reactor;2026-07-08T12:33:35.696633;723.16;76.91;723.15
reactor;2026-07-08T12:33:36.350783;723.16;76.98;723.15
reactor;2026-07-08T12:33:37.013823;723.16;77.22;723.15
reactor;2026-07-08T12:33:37.726518;723.16;77.24;723.15
reactor;2026-07-08T12:33:38.366762;723.16;77.17;723.15
reactor;2026-07-08T12:33:39.038122;723.16;77.12;723.15
reactor;2026-07-08T12:33:39.724491;723.16;77.16;723.15
reactor;2026-07-08T12:33:40.395758;723.16;77.03;723.15
reactor;2026-07-08T12:33:41.101338;723.16;76.86;723.15
reactor;2026-07-08T12:33:41.787156;723.17;76.81;723.15
reactor;2026-07-08T12:33:42.460908;723.16;76.92;723.15
reactor;2026-07-08T12:33:43.130977;723.16;77.01;723.15
reactor;2026-07-08T12:33:43.819217;723.16;77.18;723.15
reactor;2026-07-08T12:33:44.529197;723.16;77.24;723.15
reactor;2026-07-08T12:33:45.223746;723.16;77.23;723.15
reactor;2026-07-08T12:33:45.911410;723.16;77.19;723.15
reactor;2026-07-08T12:33:46.632843;723.16;76.98;723.15
reactor;2026-07-08T12:33:47.384193;723.17;76.87;723.15
reactor;2026-07-08T12:33:48.086746;723.17;76.99;723.15
reactor;2026-07-08T12:33:48.814388;723.16;77.08;723.15
reactor;2026-07-08T12:33:49.530567;723.16;77.16;723.15
reactor;2026-07-08T12:33:50.198606;723.16;77.27;723.15
reactor;2026-07-08T12:33:50.836406;723.16;77.15;723.15
reactor;2026-07-08T12:33:51.563736;723.16;77.16;723.15
reactor;2026-07-08T12:33:52.231943;723.16;77.18;723.15
reactor;2026-07-08T12:33:52.902237;723.16;77.15;723.15
reactor;2026-07-08T12:33:53.570976;723.16;77.10;723.15
reactor;2026-07-08T12:33:54.323083;723.16;77.10;723.15
reactor;2026-07-08T12:33:55.041652;723.16;77.11;723.15
reactor;2026-07-08T12:33:55.729168;723.17;76.99;723.15
reactor;2026-07-08T12:33:56.385734;723.16;77.18;723.15
reactor;2026-07-08T12:33:57.026818;723.16;77.26;723.15
