deviceName;timestamp;processValue;workingOutput;workingSetpoint
reactor;2026-07-08T04:31:39.889501;308.15;1.15;308.15
reactor;2026-07-08T04:31:40.561218;308.15;1.10;308.15
reactor;2026-07-08T04:31:41.234000;308.15;1.10;308.15
reactor;2026-07-08T04:31:41.890688;308.15;0.93;308.15
reactor;2026-07-08T04:31:42.544178;308.15;1.10;308.15
reactor;2026-07-08T04:31:43.233214;308.15;1.00;308.15
reactor;2026-07-08T04:31:43.873427;308.15;0.96;308.15
reactor;2026-07-08T04:31:44.546262;308.15;0.76;308.15
reactor;2026-07-08T04:31:45.186176;308.15;0.86;308.15
reactor;2026-07-08T04:31:45.857682;308.15;0.96;308.15
reactor;2026-07-08T04:31:46.498295;308.15;0.89;308.15
reactor;2026-07-08T04:31:47.136155;308.15;0.95;308.15
reactor;2026-07-08T04:31:47.808145;308.16;0.62;308.15
reactor;2026-07-08T04:31:48.481923;308.16;0.46;308.15
reactor;2026-07-08T04:31:49.168699;308.16;0.54;308.15
reactor;2026-07-08T04:31:49.872235;308.15;0.99;308.15
reactor;2026-07-08T04:31:50.511932;308.15;0.92;308.15
reactor;2026-07-08T04:31:51.183795;308.15;0.71;308.15
reactor;2026-07-08T04:31:51.873048;308.15;1.03;308.15
reactor;2026-07-08T04:31:52.527396;308.15;1.09;308.15
reactor;2026-07-08T04:31:53.184893;308.15;0.99;308.15
reactor;2026-07-08T04:31:53.824487;308.15;0.97;308.15
reactor;2026-07-08T04:31:54.463703;308.15;0.85;308.15
reactor;2026-07-08T04:31:55.119214;308.15;1.00;308.15
reactor;2026-07-08T04:31:55.775581;308.15;0.97;308.15
reactor;2026-07-08T04:31:56.448477;308.15;1.13;308.15
reactor;2026-07-08T04:31:57.088830;308.15;1.21;308.15
reactor;2026-07-08T04:31:57.744384;308.15;1.26;308.15
reactor;2026-07-08T04:31:58.400748;308.15;1.00;308.15
reactor;2026-07-08T04:31:59.056051;308.15;0.92;308.15
reactor;2026-07-08T04:31:59.710846;308.15;0.82;308.15
reactor;2026-07-08T04:32:00.367559;308.15;1.22;308.15
reactor;2026-07-08T04:32:01.040185;308.15;1.01;308.15
reactor;2026-07-08T04:32:01.694572;308.15;1.00;308.15
reactor;2026-07-08T04:32:02.336609;308.15;1.13;308.15
reactor;2026-07-08T04:32:02.992390;308.15;0.89;308.15
reactor;2026-07-08T04:32:03.647464;308.15;0.92;308.15
reactor;2026-07-08T04:32:04.303604;308.15;0.93;308.15
reactor;2026-07-08T04:32:04.960770;308.15;1.25;308.15
reactor;2026-07-08T04:32:05.630927;308.14;1.37;308.15
reactor;2026-07-08T04:32:06.287198;308.15;1.16;308.15
reactor;2026-07-08T04:32:06.959711;308.15;1.09;308.15
reactor;2026-07-08T04:32:07.598260;308.15;1.11;308.15
reactor;2026-07-08T04:32:08.254981;308.15;1.24;308.15
reactor;2026-07-08T04:32:08.894797;308.15;1.29;308.15
reactor;2026-07-08T04:32:09.584094;308.15;1.19;308.15
reactor;2026-07-08T04:32:10.254305;308.15;1.00;308.15
reactor;2026-07-08T04:32:10.909906;308.15;0.89;308.15
reactor;2026-07-08T04:32:11.549706;308.15;0.81;308.15
reactor;2026-07-08T04:32:12.223561;308.15;1.05;308.15
reactor;2026-07-08T04:32:12.877895;308.15;0.97;308.15
reactor;2026-07-08T04:32:13.519187;308.15;0.79;308.15
reactor;2026-07-08T04:32:14.158783;308.15;0.70;308.15
reactor;2026-07-08T04:32:14.831155;308.16;0.64;308.15
reactor;2026-07-08T04:32:15.485947;308.16;0.64;308.15
reactor;2026-07-08T04:32:16.126886;308.16;0.38;308.15
reactor;2026-07-08T04:32:16.798043;308.16;0.53;308.15
reactor;2026-07-08T04:32:17.470597;308.16;0.73;308.15
reactor;2026-07-08T04:32:18.157684;308.16;0.70;308.15
reactor;2026-07-08T04:32:18.861739;308.15;0.78;308.15
reactor;2026-07-08T04:32:19.534394;308.15;0.97;308.15
reactor;2026-07-08T04:32:20.173983;308.15;0.91;308.15
reactor;2026-07-08T04:32:20.814108;308.15;1.10;308.15
reactor;2026-07-08T04:32:21.454265;308.15;1.15;308.15
reactor;2026-07-08T04:32:22.125139;308.15;1.08;308.15
reactor;2026-07-08T04:32:22.780707;308.15;0.98;308.15
reactor;2026-07-08T04:32:23.471186;308.15;1.22;308.15
reactor;2026-07-08T04:32:24.110508;308.15;1.39;308.15
reactor;2026-07-08T04:32:24.765497;308.15;1.23;308.15
reactor;2026-07-08T04:32:25.406045;308.15;1.28;308.15
reactor;2026-07-08T04:32:26.077842;308.15;1.21;308.15
reactor;2026-07-08T04:32:26.718306;308.15;1.07;308.15
