deviceName;timestamp;processValue;workingOutput;workingSetpoint
reactor;2026-07-08T03:31:35.482903;308.14;1.31;308.15
reactor;2026-07-08T03:31:36.140348;308.15;1.10;308.15
reactor;2026-07-08T03:31:36.812339;308.15;0.94;308.15
reactor;2026-07-08T03:31:37.484534;308.15;1.09;308.15
reactor;2026-07-08T03:31:38.154762;308.15;1.02;308.15
reactor;2026-07-08T03:31:38.811836;308.15;0.93;308.15
reactor;2026-07-08T03:31:39.467552;308.15;0.95;308.15
reactor;2026-07-08T03:31:40.106830;308.15;1.04;308.15
reactor;2026-07-08T03:31:40.747307;308.15;0.89;308.15
reactor;2026-07-08T03:31:41.435340;308.15;1.15;308.15
reactor;2026-07-08T03:31:42.108273;308.15;1.08;308.15
reactor;2026-07-08T03:31:42.746695;308.15;1.15;308.15
reactor;2026-07-08T03:31:43.386231;308.15;1.08;308.15
reactor;2026-07-08T03:31:44.074849;308.15;0.87;308.15
reactor;2026-07-08T03:31:44.729984;308.15;0.83;308.15
reactor;2026-07-08T03:31:45.370129;308.15;0.79;308.15
reactor;2026-07-08T03:31:46.011163;308.15;0.88;308.15
reactor;2026-07-08T03:31:46.682958;308.15;0.92;308.15
reactor;2026-07-08T03:31:47.337275;308.15;1.01;308.15
reactor;2026-07-08T03:31:48.009246;308.15;1.07;308.15
reactor;2026-07-08T03:31:48.682674;308.15;1.01;308.15
reactor;2026-07-08T03:31:49.321222;308.15;0.78;308.15
reactor;2026-07-08T03:31:49.978521;308.15;1.00;308.15
reactor;2026-07-08T03:31:50.633611;308.15;1.01;308.15
reactor;2026-07-08T03:31:51.290034;308.15;1.02;308.15
reactor;2026-07-08T03:31:51.928921;308.15;0.89;308.15
reactor;2026-07-08T03:31:52.586452;308.15;0.94;308.15
reactor;2026-07-08T03:31:53.256817;308.15;0.90;308.15
reactor;2026-07-08T03:31:53.912753;308.15;0.94;308.15
reactor;2026-07-08T03:31:54.584870;308.15;0.98;308.15
reactor;2026-07-08T03:31:55.242002;308.15;1.00;308.15
reactor;2026-07-08T03:31:55.881431;308.15;1.23;308.15
reactor;2026-07-08T03:31:56.520610;308.15;1.19;308.15
reactor;2026-07-08T03:31:57.177629;308.14;1.43;308.15
reactor;2026-07-08T03:31:57.817227;308.14;1.50;308.15
reactor;2026-07-08T03:31:58.457369;308.14;1.33;308.15
reactor;2026-07-08T03:31:59.096406;308.15;1.15;308.15
reactor;2026-07-08T03:31:59.769182;308.15;1.19;308.15
reactor;2026-07-08T03:32:00.407686;308.15;1.09;308.15
reactor;2026-07-08T03:32:01.049224;308.15;1.02;308.15
reactor;2026-07-08T03:32:01.720234;308.15;0.95;308.15
reactor;2026-07-08T03:32:02.359529;308.15;0.72;308.15
reactor;2026-07-08T03:32:03.031016;308.15;0.76;308.15
reactor;2026-07-08T03:32:03.671256;308.15;0.76;308.15
reactor;2026-07-08T03:32:04.312503;308.15;0.73;308.15
reactor;2026-07-08T03:32:04.952424;308.15;0.66;308.15
reactor;2026-07-08T03:32:05.592217;308.15;0.69;308.15
reactor;2026-07-08T03:32:06.249311;308.15;0.73;308.15
reactor;2026-07-08T03:32:06.902750;308.15;0.93;308.15
reactor;2026-07-08T03:32:07.558744;308.15;0.95;308.15
reactor;2026-07-08T03:32:08.231504;308.15;0.96;308.15
reactor;2026-07-08T03:32:08.888114;308.15;0.95;308.15
reactor;2026-07-08T03:32:09.528158;308.15;0.90;308.15
reactor;2026-07-08T03:32:10.166744;308.15;1.11;308.15
reactor;2026-07-08T03:32:10.822593;308.15;1.20;308.15
reactor;2026-07-08T03:32:11.478213;308.15;1.01;308.15
reactor;2026-07-08T03:32:12.118844;308.15;0.83;308.15
reactor;2026-07-08T03:32:12.758473;308.15;1.00;308.15
reactor;2026-07-08T03:32:13.416246;308.15;1.02;308.15
reactor;2026-07-08T03:32:14.087143;308.15;0.79;308.15
reactor;2026-07-08T03:32:14.744076;308.15;0.84;308.15
reactor;2026-07-08T03:32:15.383832;308.15;1.09;308.15
reactor;2026-07-08T03:32:16.055689;308.15;1.12;308.15
reactor;2026-07-08T03:32:16.727238;308.15;0.95;308.15
reactor;2026-07-08T03:32:17.365631;308.15;0.91;308.15
reactor;2026-07-08T03:32:18.037774;308.15;0.71;308.15
reactor;2026-07-08T03:32:18.709895;308.15;0.68;308.15
reactor;2026-07-08T03:32:19.382611;308.16;0.51;308.15
reactor;2026-07-08T03:32:20.055151;308.16;0.53;308.15
reactor;2026-07-08T03:32:20.709733;308.16;0.44;308.15
reactor;2026-07-08T03:32:21.367375;308.16;0.71;308.15
reactor;2026-07-08T03:32:22.022017;308.16;0.78;308.15
reactor;2026-07-08T03:32:22.662272;308.15;0.89;308.15
reactor;2026-07-08T03:32:23.348917;308.15;1.07;308.15
reactor;2026-07-08T03:32:24.004700;308.15;1.06;308.15
reactor;2026-07-08T03:32:24.661543;308.15;0.93;308.15
reactor;2026-07-08T03:32:25.300787;308.15;1.08;308.15
reactor;2026-07-08T03:32:25.974606;308.15;1.25;308.15
reactor;2026-07-08T03:32:26.630861;308.15;1.06;308.15
reactor;2026-07-08T03:32:27.286238;308.15;1.12;308.15
reactor;2026-07-08T03:32:27.956962;308.15;1.08;308.15
reactor;2026-07-08T03:32:28.629081;308.15;0.91;308.15
reactor;2026-07-08T03:32:29.268821;308.16;0.76;308.15
reactor;2026-07-08T03:32:29.910006;308.16;0.71;308.15
reactor;2026-07-08T03:32:30.565094;308.15;0.80;308.15
reactor;2026-07-08T03:32:31.237498;308.15;0.87;308.15
reactor;2026-07-08T03:32:31.893983;308.15;1.02;308.15
reactor;2026-07-08T03:32:32.532124;308.15;1.03;308.15
reactor;2026-07-08T03:32:33.173879;308.15;1.02;308.15
reactor;2026-07-08T03:32:33.860963;308.15;0.95;308.15
reactor;2026-07-08T03:32:34.500664;308.15;1.02;308.15
reactor;2026-07-08T03:32:35.139785;308.15;0.83;308.15
reactor;2026-07-08T03:32:35.779899;308.15;0.88;308.15
reactor;2026-07-08T03:32:36.451561;308.15;0.95;308.15
