deviceName;timestamp;processValue;workingOutput;workingSetpoint
reactor;2026-07-08T09:31:59.908839;323.25;2.18;323.15
reactor;2026-07-08T09:32:00.596648;323.25;2.25;323.15
reactor;2026-07-08T09:32:01.250877;323.25;2.27;323.15
reactor;2026-07-08T09:32:01.890310;323.25;2.31;323.15
reactor;2026-07-08T09:32:02.531141;323.25;2.36;323.15
reactor;2026-07-08T09:32:03.202228;323.25;2.53;323.15
reactor;2026-07-08T09:32:03.860571;323.25;2.54;323.15
reactor;2026-07-08T09:32:04.531257;323.25;2.52;323.15
reactor;2026-07-08T09:32:05.205524;323.25;2.55;323.15
reactor;2026-07-08T09:32:05.842184;323.25;2.39;323.15
reactor;2026-07-08T09:32:06.482981;323.25;2.20;323.15
reactor;2026-07-08T09:32:07.138223;323.25;2.56;323.15
reactor;2026-07-08T09:32:07.779398;323.24;2.73;323.15
reactor;2026-07-08T09:32:08.435418;323.25;2.51;323.15
reactor;2026-07-08T09:32:09.090646;323.25;2.58;323.15
reactor;2026-07-08T09:32:09.732130;323.24;2.74;323.15
reactor;2026-07-08T09:32:10.402863;323.25;2.53;323.15
reactor;2026-07-08T09:32:11.043299;323.25;2.44;323.15
reactor;2026-07-08T09:32:11.698831;323.25;2.43;323.15
reactor;2026-07-08T09:32:12.355037;323.25;2.39;323.15
reactor;2026-07-08T09:32:13.042323;323.24;2.57;323.15
reactor;2026-07-08T09:32:13.698313;323.24;2.49;323.15
reactor;2026-07-08T09:32:14.343727;323.24;2.51;323.15
reactor;2026-07-08T09:32:14.999368;323.25;2.33;323.15
reactor;2026-07-08T09:32:15.681044;323.25;2.28;323.15
reactor;2026-07-08T09:32:16.337444;323.25;2.32;323.15
reactor;2026-07-08T09:32:17.029531;323.25;2.32;323.15
reactor;2026-07-08T09:32:17.697031;323.24;2.48;323.15
reactor;2026-07-08T09:32:18.370097;323.24;2.60;323.15
reactor;2026-07-08T09:32:19.040457;323.24;2.70;323.15
reactor;2026-07-08T09:32:19.728889;323.24;2.56;323.15
reactor;2026-07-08T09:32:20.401141;323.24;2.54;323.15
reactor;2026-07-08T09:32:21.135799;323.24;2.59;323.15
reactor;2026-07-08T09:32:21.792588;323.24;2.76;323.15
