deviceName;timestamp;processValue;workingOutput;workingSetpoint
reactor;2026-07-08T02:31:31.368197;308.15;0.92;308.15
reactor;2026-07-08T02:31:32.041262;308.15;0.73;308.15
reactor;2026-07-08T02:31:32.681093;308.15;0.78;308.15
reactor;2026-07-08T02:31:33.321348;308.15;0.93;308.15
reactor;2026-07-08T02:31:33.991072;308.15;0.77;308.15
reactor;2026-07-08T02:31:34.649095;308.15;0.74;308.15
reactor;2026-07-08T02:31:35.319856;308.15;1.18;308.15
reactor;2026-07-08T02:31:35.975705;308.15;1.07;308.15
reactor;2026-07-08T02:31:36.614634;308.15;1.14;308.15
reactor;2026-07-08T02:31:37.271060;308.15;1.30;308.15
reactor;2026-07-08T02:31:37.943819;308.15;1.29;308.15
reactor;2026-07-08T02:31:38.600655;308.14;1.37;308.15
reactor;2026-07-08T02:31:39.272607;308.15;1.10;308.15
reactor;2026-07-08T02:31:39.943538;308.15;0.94;308.15
reactor;2026-07-08T02:31:40.582554;308.15;0.99;308.15
reactor;2026-07-08T02:31:41.223835;308.15;0.97;308.15
reactor;2026-07-08T02:31:41.896417;308.15;0.72;308.15
reactor;2026-07-08T02:31:42.566480;308.15;0.97;308.15
reactor;2026-07-08T02:31:43.207293;308.15;1.09;308.15
reactor;2026-07-08T02:31:43.894166;308.15;1.16;308.15
reactor;2026-07-08T02:31:44.565647;308.15;1.21;308.15
reactor;2026-07-08T02:31:45.239666;308.15;1.09;308.15
reactor;2026-07-08T02:31:45.894352;308.15;1.16;308.15
reactor;2026-07-08T02:31:46.549180;308.15;1.21;308.15
reactor;2026-07-08T02:31:47.191612;308.15;1.09;308.15
reactor;2026-07-08T02:31:47.829799;308.15;1.00;308.15
reactor;2026-07-08T02:31:48.486666;308.15;0.83;308.15
reactor;2026-07-08T02:31:49.141454;308.15;0.89;308.15
reactor;2026-07-08T02:31:49.782298;308.15;0.77;308.15
reactor;2026-07-08T02:31:50.422124;308.15;0.70;308.15
reactor;2026-07-08T02:31:51.077489;308.15;0.72;308.15
reactor;2026-07-08T02:31:51.717437;308.15;0.81;308.15
reactor;2026-07-08T02:31:52.373038;308.15;0.91;308.15
reactor;2026-07-08T02:31:53.029461;308.15;0.80;308.15
reactor;2026-07-08T02:31:53.669478;308.15;0.76;308.15
reactor;2026-07-08T02:31:54.308307;308.15;1.04;308.15
reactor;2026-07-08T02:31:54.980464;308.15;1.07;308.15
