deviceName;timestamp;processValue;workingOutput;workingSetpoint
reactor;2026-07-08T13:32:44.196874;723.13;77.46;723.15
reactor;2026-07-08T13:32:44.883888;723.12;77.55;723.15
reactor;2026-07-08T13:32:45.558661;723.12;77.65;723.15
reactor;2026-07-08T13:32:46.308376;723.12;77.70;723.15
reactor;2026-07-08T13:32:47.014542;723.12;77.62;723.15
reactor;2026-07-08T13:32:47.651637;723.12;77.64;723.15
reactor;2026-07-08T13:32:48.325538;723.12;77.44;723.15
reactor;2026-07-08T13:32:49.009761;723.12;77.60;723.15
reactor;2026-07-08T13:32:49.778787;723.12;77.65;723.15
reactor;2026-07-08T13:32:50.433618;723.12;77.60;723.15
reactor;2026-07-08T13:32:51.153886;723.12;77.59;723.15
reactor;2026-07-08T13:32:51.807619;723.12;77.53;723.15
reactor;2026-07-08T13:32:52.449226;723.12;77.53;723.15
reactor;2026-07-08T13:32:53.166475;723.12;77.54;723.15
reactor;2026-07-08T13:32:53.806500;723.12;77.51;723.15
reactor;2026-07-08T13:32:54.446846;723.13;77.28;723.15
reactor;2026-07-08T13:32:55.102572;723.13;77.25;723.15
reactor;2026-07-08T13:32:55.774416;723.12;77.41;723.15
reactor;2026-07-08T13:32:56.411862;723.12;77.54;723.15
reactor;2026-07-08T13:32:57.169152;723.12;77.56;723.15
reactor;2026-07-08T13:32:57.837153;723.12;77.57;723.15
reactor;2026-07-08T13:32:58.588625;723.12;77.57;723.15
reactor;2026-07-08T13:32:59.260418;723.12;77.47;723.15
reactor;2026-07-08T13:32:59.959178;723.12;77.56;723.15
reactor;2026-07-08T13:33:00.634462;723.12;77.63;723.15
reactor;2026-07-08T13:33:01.354101;723.12;77.49;723.15
reactor;2026-07-08T13:33:01.992824;723.12;77.52;723.15
reactor;2026-07-08T13:33:02.681537;723.12;77.56;723.15
reactor;2026-07-08T13:33:03.354255;723.12;77.55;723.15
reactor;2026-07-08T13:33:04.024067;723.12;77.59;723.15
reactor;2026-07-08T13:33:04.712663;723.12;77.74;723.15
reactor;2026-07-08T13:33:05.384218;723.12;77.68;723.15
reactor;2026-07-08T13:33:06.043235;723.12;77.58;723.15
reactor;2026-07-08T13:33:06.732281;723.12;77.56;723.15
reactor;2026-07-08T13:33:07.433433;723.12;77.64;723.15
reactor;2026-07-08T13:33:08.102523;723.12;77.61;723.15
reactor;2026-07-08T13:33:08.756822;723.12;77.73;723.15
reactor;2026-07-08T13:33:09.412209;723.12;77.65;723.15
reactor;2026-07-08T13:33:10.089330;723.12;77.64;723.15
reactor;2026-07-08T13:33:10.754910;723.12;77.56;723.15
reactor;2026-07-08T13:33:11.426941;723.12;77.47;723.15
reactor;2026-07-08T13:33:12.134812;723.12;77.48;723.15
reactor;2026-07-08T13:33:12.787616;723.12;77.58;723.15
reactor;2026-07-08T13:33:13.441571;723.12;77.50;723.15
reactor;2026-07-08T13:33:14.098254;723.12;77.22;723.15
reactor;2026-07-08T13:33:14.801863;723.12;77.43;723.15
reactor;2026-07-08T13:33:15.458438;723.12;77.50;723.15
reactor;2026-07-08T13:33:16.129528;723.12;77.30;723.15
reactor;2026-07-08T13:33:16.784707;723.12;77.25;723.15
reactor;2026-07-08T13:33:17.439721;723.12;77.33;723.15
reactor;2026-07-08T13:33:18.111428;723.12;77.25;723.15
reactor;2026-07-08T13:33:18.799883;723.12;77.27;723.15
reactor;2026-07-08T13:33:19.532605;723.12;77.31;723.15
reactor;2026-07-08T13:33:20.214284;723.13;77.24;723.15
reactor;2026-07-08T13:33:20.892845;723.13;77.18;723.15
reactor;2026-07-08T13:33:21.566457;723.13;77.26;723.15
reactor;2026-07-08T13:33:22.236216;723.13;77.25;723.15
reactor;2026-07-08T13:33:22.907655;723.13;77.22;723.15
reactor;2026-07-08T13:33:23.581001;723.13;77.14;723.15
reactor;2026-07-08T13:33:24.235870;723.13;77.27;723.15
reactor;2026-07-08T13:33:24.907423;723.13;77.29;723.15
reactor;2026-07-08T13:33:25.594500;723.13;77.23;723.15
reactor;2026-07-08T13:33:26.251141;723.13;77.27;723.15
reactor;2026-07-08T13:33:26.985223;723.13;77.12;723.15
reactor;2026-07-08T13:33:27.641407;723.13;77.04;723.15
reactor;2026-07-08T13:33:28.313641;723.13;77.03;723.15
reactor;2026-07-08T13:33:28.969489;723.13;76.87;723.15
reactor;2026-07-08T13:33:29.640195;723.14;76.79;723.15
reactor;2026-07-08T13:33:30.369037;723.14;76.77;723.15
reactor;2026-07-08T13:33:31.030745;723.14;76.84;723.15
reactor;2026-07-08T13:33:31.747134;723.14;76.85;723.15
reactor;2026-07-08T13:33:32.422623;723.14;76.74;723.15
reactor;2026-07-08T13:33:33.156982;723.14;76.77;723.15
reactor;2026-07-08T13:33:33.828459;723.14;76.88;723.15
reactor;2026-07-08T13:33:34.553069;723.14;77.01;723.15
reactor;2026-07-08T13:33:35.220834;723.14;77.04;723.15
reactor;2026-07-08T13:33:35.911139;723.14;76.99;723.15
reactor;2026-07-08T13:33:36.578748;723.14;77.07;723.15
reactor;2026-07-08T13:33:37.219894;723.14;77.00;723.15
reactor;2026-07-08T13:33:37.924364;723.14;77.03;723.15
reactor;2026-07-08T13:33:38.647847;723.14;77.08;723.15
reactor;2026-07-08T13:33:39.314699;723.14;77.01;723.15
reactor;2026-07-08T13:33:39.956089;723.14;77.02;723.15
reactor;2026-07-08T13:33:40.624719;723.14;77.13;723.15
reactor;2026-07-08T13:33:41.297206;723.14;77.01;723.15
reactor;2026-07-08T13:33:41.985742;723.14;77.10;723.15
reactor;2026-07-08T13:33:42.705525;723.14;76.86;723.15
reactor;2026-07-08T13:33:43.392154;723.14;77.06;723.15
reactor;2026-07-08T13:33:44.032066;723.14;77.12;723.15
reactor;2026-07-08T13:33:44.701797;723.14;77.10;723.15
reactor;2026-07-08T13:33:45.345655;723.14;77.14;723.15
reactor;2026-07-08T13:33:46.015740;723.14;77.07;723.15
reactor;2026-07-08T13:33:46.670029;723.14;76.97;723.15
reactor;2026-07-08T13:33:47.330240;723.14;76.99;723.15
reactor;2026-07-08T13:33:47.995988;723.14;77.10;723.15
reactor;2026-07-08T13:33:48.634905;723.14;77.09;723.15
reactor;2026-07-08T13:33:49.346582;723.14;76.99;723.15
reactor;2026-07-08T13:33:49.996364;723.14;77.06;723.15
