deviceName;timestamp;processValue;workingOutput;workingSetpoint
reactor;2026-07-08T15:33:02.871106;533.15;31.44;533.15
reactor;2026-07-08T15:33:03.506690;533.15;31.61;533.15
reactor;2026-07-08T15:33:04.162315;533.15;31.73;533.15
reactor;2026-07-08T15:33:04.883003;533.15;31.71;533.15
reactor;2026-07-08T15:33:05.554561;533.15;31.90;533.15
reactor;2026-07-08T15:33:06.211871;533.14;31.98;533.15
reactor;2026-07-08T15:33:06.883506;533.15;31.81;533.15
reactor;2026-07-08T15:33:07.568528;533.15;31.69;533.15
reactor;2026-07-08T15:33:08.207958;533.15;31.74;533.15
reactor;2026-07-08T15:33:08.865485;533.15;31.65;533.15
reactor;2026-07-08T15:33:09.522090;533.15;31.64;533.15
reactor;2026-07-08T15:33:10.158394;533.15;31.35;533.15
reactor;2026-07-08T15:33:10.829675;533.15;31.38;533.15
reactor;2026-07-08T15:33:11.501866;533.15;31.44;533.15
reactor;2026-07-08T15:33:12.183178;533.15;31.37;533.15
reactor;2026-07-08T15:33:12.844377;533.15;31.32;533.15
reactor;2026-07-08T15:33:13.500590;533.15;31.33;533.15
reactor;2026-07-08T15:33:14.171663;533.15;31.28;533.15
reactor;2026-07-08T15:33:14.842923;533.15;31.35;533.15
reactor;2026-07-08T15:33:15.547288;533.15;31.57;533.15
reactor;2026-07-08T15:33:16.187870;533.15;31.47;533.15
reactor;2026-07-08T15:33:16.858607;533.16;31.17;533.15
reactor;2026-07-08T15:33:17.546298;533.16;31.23;533.15
reactor;2026-07-08T15:33:18.200305;533.15;31.45;533.15
reactor;2026-07-08T15:33:18.858190;533.15;31.67;533.15
reactor;2026-07-08T15:33:19.497069;533.15;31.66;533.15
reactor;2026-07-08T15:33:20.152607;533.15;31.77;533.15
reactor;2026-07-08T15:33:20.808516;533.15;31.76;533.15
reactor;2026-07-08T15:33:21.503879;533.15;31.80;533.15
reactor;2026-07-08T15:33:22.151537;533.15;31.69;533.15
reactor;2026-07-08T15:33:22.821019;533.15;31.78;533.15
reactor;2026-07-08T15:33:23.478548;533.15;31.84;533.15
reactor;2026-07-08T15:33:24.150534;533.14;31.89;533.15
reactor;2026-07-08T15:33:24.820385;533.14;32.04;533.15
