deviceName;timestamp;processValue;workingOutput;workingSetpoint
reactor;2026-07-08T10:32:07.810772;442.05;60.08;445.15
reactor;2026-07-08T10:32:08.484017;442.09;59.40;445.15
reactor;2026-07-08T10:32:09.140652;442.14;58.68;445.15
reactor;2026-07-08T10:32:09.794664;442.17;58.16;445.15
reactor;2026-07-08T10:32:10.452715;442.23;57.39;445.15
reactor;2026-07-08T10:32:11.122414;442.28;56.61;445.15
reactor;2026-07-08T10:32:11.795236;442.31;56.18;445.15
reactor;2026-07-08T10:32:12.451834;442.36;55.64;445.15
reactor;2026-07-08T10:32:13.124388;442.41;55.06;445.15
reactor;2026-07-08T10:32:13.794710;442.44;54.43;445.15
reactor;2026-07-08T10:32:14.436098;442.49;53.73;445.15
reactor;2026-07-08T10:32:15.123767;442.54;53.04;445.15
reactor;2026-07-08T10:32:15.765452;442.58;52.60;445.15
reactor;2026-07-08T10:32:16.418662;442.63;51.84;445.15
reactor;2026-07-08T10:32:17.073923;442.66;51.28;445.15
reactor;2026-07-08T10:32:17.746815;442.71;50.61;445.15
reactor;2026-07-08T10:32:18.419075;442.76;49.96;445.15
reactor;2026-07-08T10:32:19.092605;442.79;49.65;445.15
reactor;2026-07-08T10:32:19.729620;442.84;49.16;445.15
reactor;2026-07-08T10:32:20.386149;442.89;48.43;445.15
reactor;2026-07-08T10:32:21.041426;442.92;47.89;445.15
reactor;2026-07-08T10:32:21.684006;442.98;47.09;445.15
reactor;2026-07-08T10:32:22.352862;443.01;60.81;446.15
reactor;2026-07-08T10:32:22.994761;443.06;59.80;446.15
reactor;2026-07-08T10:32:23.649974;443.10;59.46;446.15
reactor;2026-07-08T10:32:24.327563;443.15;58.74;446.15
reactor;2026-07-08T10:32:24.994285;443.20;57.89;446.15
reactor;2026-07-08T10:32:25.634752;443.23;57.47;446.15
reactor;2026-07-08T10:32:26.273791;443.28;56.91;446.15
reactor;2026-07-08T10:32:26.929806;443.33;56.30;446.15
