deviceName;timestamp;processValue;workingOutput;workingSetpoint
reactor;2026-07-08T08:31:56.006319;308.15;0.83;308.15
reactor;2026-07-08T08:31:56.678053;308.15;1.02;308.15
reactor;2026-07-08T08:31:57.350282;308.15;0.94;308.15
reactor;2026-07-08T08:31:58.006191;308.15;1.02;308.15
reactor;2026-07-08T08:31:58.677670;308.15;1.07;308.15
reactor;2026-07-08T08:31:59.319440;308.15;1.01;308.15
reactor;2026-07-08T08:31:59.990573;308.15;1.04;308.15
reactor;2026-07-08T08:32:00.630424;308.15;1.29;308.15
reactor;2026-07-08T08:32:01.303509;308.15;1.43;308.15
reactor;2026-07-08T08:32:01.973858;308.15;1.22;308.15
reactor;2026-07-08T08:32:02.614228;308.15;1.15;308.15
reactor;2026-07-08T08:32:03.253944;308.15;1.22;308.15
reactor;2026-07-08T08:32:03.893557;308.15;1.08;308.15
reactor;2026-07-08T08:32:04.534355;308.15;1.05;308.15
reactor;2026-07-08T08:32:05.173442;308.15;1.02;308.15
reactor;2026-07-08T08:32:05.813872;308.15;0.89;308.15
reactor;2026-07-08T08:32:06.486716;308.15;0.75;308.15
reactor;2026-07-08T08:32:07.157328;308.15;0.76;308.15
reactor;2026-07-08T08:32:07.814323;308.16;0.72;308.15
reactor;2026-07-08T08:32:08.486727;308.16;0.66;308.15
reactor;2026-07-08T08:32:09.124759;308.16;0.70;308.15
reactor;2026-07-08T08:32:09.798496;308.16;0.67;308.15
reactor;2026-07-08T08:32:10.452465;308.16;0.72;308.15
reactor;2026-07-08T08:32:11.108542;308.15;0.86;308.15
reactor;2026-07-08T08:32:11.766200;308.15;0.96;308.15
reactor;2026-07-08T08:32:12.436983;308.15;0.96;308.15
reactor;2026-07-08T08:32:13.109126;308.15;0.99;308.15
reactor;2026-07-08T08:32:13.780888;308.15;1.01;308.15
reactor;2026-07-08T08:32:14.421088;308.15;0.88;308.15
reactor;2026-07-08T08:32:15.059941;308.15;1.05;308.15
reactor;2026-07-08T08:32:15.732983;308.16;0.75;308.15
reactor;2026-07-08T08:32:16.372912;308.16;0.81;308.15
reactor;2026-07-08T08:32:17.059821;308.16;0.66;308.15
reactor;2026-07-08T08:32:17.700667;308.16;0.86;308.15
reactor;2026-07-08T08:32:18.340795;308.16;0.83;308.15
reactor;2026-07-08T08:32:19.011495;308.15;0.98;308.15
reactor;2026-07-08T08:32:19.667447;308.15;1.02;308.15
reactor;2026-07-08T08:32:20.325344;308.15;1.26;308.15
reactor;2026-07-08T08:32:20.963811;308.15;1.12;308.15
reactor;2026-07-08T08:32:21.635857;308.15;0.92;308.15
reactor;2026-07-08T08:32:22.293258;308.15;1.09;308.15
reactor;2026-07-08T08:32:22.962912;308.15;1.05;308.15
reactor;2026-07-08T08:32:23.634770;308.16;0.65;308.15
reactor;2026-07-08T08:32:24.275241;308.16;0.53;308.15
reactor;2026-07-08T08:32:24.915684;308.16;0.51;308.15
reactor;2026-07-08T08:32:25.588467;308.16;0.44;308.15
reactor;2026-07-08T08:32:26.226923;308.16;0.82;308.15
reactor;2026-07-08T08:32:26.883623;308.15;1.06;308.15
reactor;2026-07-08T08:32:27.540193;308.15;1.48;308.15
reactor;2026-07-08T08:32:28.212031;308.15;1.40;308.15
reactor;2026-07-08T08:32:28.867182;308.15;1.25;308.15
reactor;2026-07-08T08:32:29.506980;308.15;1.29;308.15
reactor;2026-07-08T08:32:30.179501;308.15;1.20;308.15
reactor;2026-07-08T08:32:30.819700;308.15;1.02;308.15
reactor;2026-07-08T08:32:31.491431;308.16;0.82;308.15
reactor;2026-07-08T08:32:32.146046;308.15;0.89;308.15
reactor;2026-07-08T08:32:32.802864;308.15;0.91;308.15
reactor;2026-07-08T08:32:33.441810;308.16;0.81;308.15
reactor;2026-07-08T08:32:34.114759;308.16;0.74;308.15
reactor;2026-07-08T08:32:34.769916;308.16;0.76;308.15
reactor;2026-07-08T08:32:35.411661;308.15;0.94;308.15
reactor;2026-07-08T08:32:36.050083;308.16;0.88;308.15
reactor;2026-07-08T08:32:36.689284;308.15;1.09;308.15
reactor;2026-07-08T08:32:37.362491;308.15;1.13;308.15
reactor;2026-07-08T08:32:38.035057;308.15;1.23;308.15
reactor;2026-07-08T08:32:38.674583;308.15;1.18;308.15
reactor;2026-07-08T08:32:39.362109;308.15;1.01;308.15
reactor;2026-07-08T08:32:40.017575;308.16;0.82;308.15
reactor;2026-07-08T08:32:40.705687;308.16;0.85;308.15
reactor;2026-07-08T08:32:41.378486;308.16;0.81;308.15
reactor;2026-07-08T08:32:42.016717;308.16;0.89;308.15
reactor;2026-07-08T08:32:42.673515;308.15;1.09;308.15
reactor;2026-07-08T08:32:43.328659;308.15;1.24;308.15
reactor;2026-07-08T08:32:43.968917;308.15;1.21;308.15
reactor;2026-07-08T08:32:44.610606;308.15;1.25;308.15
reactor;2026-07-08T08:32:45.248879;308.15;1.18;308.15
reactor;2026-07-08T08:32:45.905684;308.15;1.28;308.15
reactor;2026-07-08T08:32:46.544942;308.15;1.35;308.15
reactor;2026-07-08T08:32:47.248896;308.15;1.28;308.15
reactor;2026-07-08T08:32:47.921856;308.15;1.16;308.15
reactor;2026-07-08T08:32:48.592514;308.15;1.10;308.15
reactor;2026-07-08T08:32:49.233905;308.15;1.27;308.15
reactor;2026-07-08T08:32:49.872346;308.15;1.24;308.15
reactor;2026-07-08T08:32:50.545912;308.15;1.26;308.15
reactor;2026-07-08T08:32:51.184246;308.15;1.17;308.15
reactor;2026-07-08T08:32:51.824262;308.15;0.95;308.15
reactor;2026-07-08T08:32:52.463642;308.15;1.14;308.15
reactor;2026-07-08T08:32:53.105701;308.15;1.02;308.15
reactor;2026-07-08T08:32:53.759607;308.15;0.91;308.15
reactor;2026-07-08T08:32:54.416647;308.15;0.82;308.15
reactor;2026-07-08T08:32:55.104340;308.16;0.67;308.15
reactor;2026-07-08T08:32:55.744551;308.15;0.86;308.15
reactor;2026-07-08T08:32:56.415313;308.15;0.81;308.15
reactor;2026-07-08T08:32:57.055122;308.16;0.76;308.15
reactor;2026-07-08T08:32:57.728715;308.15;1.12;308.15
reactor;2026-07-08T08:32:58.398824;308.15;1.09;308.15
reactor;2026-07-08T08:32:59.039205;308.15;0.94;308.15
reactor;2026-07-08T08:32:59.679654;308.15;0.82;308.15
reactor;2026-07-08T08:33:00.351105;308.15;0.98;308.15
reactor;2026-07-08T08:33:01.006978;308.16;0.81;308.15
reactor;2026-07-08T08:33:01.664245;308.15;0.87;308.15
reactor;2026-07-08T08:33:02.302473;308.15;1.00;308.15
reactor;2026-07-08T08:33:02.943259;308.15;0.89;308.15
reactor;2026-07-08T08:33:03.583607;308.16;0.77;308.15
reactor;2026-07-08T08:33:04.238196;308.15;1.07;308.15
reactor;2026-07-08T08:33:04.895125;308.15;1.02;308.15
reactor;2026-07-08T08:33:05.534544;308.15;0.91;308.15
reactor;2026-07-08T08:33:06.190471;308.15;0.95;308.15
reactor;2026-07-08T08:33:06.831846;308.15;1.31;308.15
reactor;2026-07-08T08:33:07.470573;308.15;1.15;308.15
reactor;2026-07-08T08:33:08.143341;308.15;1.33;308.15
